,Indicador,Definicion_indicador,Year,value
0,3,Proporción de la matricula que corresponde a estudiantes en situación de movilidad,2018,1.55
1,3,Proporción de la matricula que corresponde a estudiantes en situación de movilidad,2019,1.86
2,3,Proporción de la matricula que corresponde a estudiantes en situación de movilidad,2020,2.26
3,3,Proporción de la matricula que corresponde a estudiantes en situación de movilidad,2021,2.53
4,3,Proporción de la matricula que corresponde a estudiantes en situación de movilidad,2022,2.63
5,3,Proporción de la matricula que corresponde a estudiantes en situación de movilidad,2023,
0,4,Proporción de estudiantes en situación de movilidad matriculados oportunamente en el primer grado de primaria.,2018,71.1
1,4,Proporción de estudiantes en situación de movilidad matriculados oportunamente en el primer grado de primaria.,2019,68.37
2,4,Proporción de estudiantes en situación de movilidad matriculados oportunamente en el primer grado de primaria.,2020,71.77
3,4,Proporción de estudiantes en situación de movilidad matriculados oportunamente en el primer grado de primaria.,2021,74.25
4,4,Proporción de estudiantes en situación de movilidad matriculados oportunamente en el primer grado de primaria.,2022,69.0
5,4,Proporción de estudiantes en situación de movilidad matriculados oportunamente en el primer grado de primaria.,2023,70.62
0,5,Proporción de repetidores entre los estudiantes en situación de movilidad.,2018,
1,5,Proporción de repetidores entre los estudiantes en situación de movilidad.,2019,3.48
2,5,Proporción de repetidores entre los estudiantes en situación de movilidad.,2020,2.57
3,5,Proporción de repetidores entre los estudiantes en situación de movilidad.,2021,3.37
4,5,Proporción de repetidores entre los estudiantes en situación de movilidad.,2022,3.53
5,5,Proporción de repetidores entre los estudiantes en situación de movilidad.,2023,2.39
0,6,Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,2018,13.73
1,6,Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,2019,12.89
2,6,Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,2020,15.32
3,6,Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,2021,12.32
4,6,Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,2022,12.48
5,6,Proporción de estudiantes en situación de movilidad que superan la edad para el curso.,2023,12.5
0,7,Tasa de abandono intra anual de estudiantes en situación de movilidad.,2018,4.73
1,7,Tasa de abandono intra anual de estudiantes en situación de movilidad.,2019,4.9
2,7,Tasa de abandono intra anual de estudiantes en situación de movilidad.,2020,2.53
3,7,Tasa de abandono intra anual de estudiantes en situación de movilidad.,2021,5.12
4,7,Tasa de abandono intra anual de estudiantes en situación de movilidad.,2022,10.12
5,7,Tasa de abandono intra anual de estudiantes en situación de movilidad.,2023,7.18
0,8,Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,2018,1.5
1,8,Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,2019,1.98
2,8,Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,2020,1.99
3,8,Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,2021,2.18
4,8,Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,2022,2.85
5,8,Proporción de estudiantes en situación de movilidad promovidos del último grado de un nivel  respecto al total de estudiantes promovidos del mismo nivel.,2023,3.87
